"subj_idx","acc_diff_so_2","acc_diff_so_4","rt_diff_so_2","rt_diff_so_4"
"1",-0.270833333333333,-0.125,589.020833333333,267.375
"2",-0.15715667311412,-0.222222222222222,-72.1639264990329,117.933333333333
"3",0.0625,0.0490394337714863,-125.1875,198.884732052578
"4",-0.12854609929078,-0.144444444444444,172.761081560284,-34.6072463768119
"5",0.00231267345050878,-0.1578073089701,98.8122109158187,41.3067552602438
"6",-0.220629047178538,-0.153771760154739,186.567992599445,-13.2398452611219
"7",-0.216755319148936,-0.328014184397163,170.624113475177,303.262411347518
"8",-0.0499537465309898,-0.165217391304348,-51.4972247918593,-216.607246376812
"9",0.148936170212766,-0.0777777777777777,-130.553191489362,182.604347826087
"10",-0.208140610545791,-0.0643026004728133,115.633209990749,199.144680851064
"11",-0.0851063829787234,-0.0597222222222222,83.9787234042553,124.718055555556
"12",-0.20995670995671,-0.0909090909090909,133.322510822511,98.75
"13",-0.173758865248227,-0.332659251769464,243.844858156029,204.767947421638
"14",-0.0706521739130435,-0.117946345975948,-108.332427536232,0.931544865864907
"15",-0.229166666666667,-0.125,167.375,-46.1458333333335
